CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
20        0.0039  dbus-daemon              dbus-daemon              /usr/bin/dbus-daemon
20        0.0039  libc-2.17.so             libc-2.17.so             _int_malloc
20        0.0039  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Bin::addPublicFreeListBlock(rml::internal::Block*)
18        0.0035  libtbbmalloc.so.2        libtbbmalloc.so.2        unsigned int rml::internal::getIndexOrObjectSize<true>(unsigned int)
18        0.0035  server                   server                   i40e_dev_stats_reset
18        0.0035  server                   server                   rte_delay_us_block
17        0.0033  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_first
16        0.0031  libjemalloc.so.2         libjemalloc.so.2         extent_size_quantize_ceil
16        0.0031  libjemalloc.so.2         libjemalloc.so.2         je_malloc_default
16        0.0031  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::allocate_block(unsigned long)
15        0.0030  libc-2.17.so             libc-2.17.so             _int_free
15        0.0030  libtbbmalloc.so.2        libtbbmalloc.so.2        bool rml::internal::isLargeObject<(rml::internal::MemoryOrigin)0>(void*) [clone .part.38]
13        0.0026  libtbbmalloc.so.2        libtbbmalloc.so.2        scalable_aligned_free
12        0.0024  bash                     bash                     /usr/bin/bash
12        0.0024  libc-2.17.so             libc-2.17.so             re_compile_internal
12        0.0024  libdbus-1.so.3.7.4       libdbus-1.so.3.7.4       /usr/lib64/libdbus-1.so.3.7.4
12        0.0024  libjemalloc.so.2         libjemalloc.so.2         je_extent_alloc
12        0.0024  libjemalloc.so.2         libjemalloc.so.2         je_tcache_event_hard
11        0.0022  libc-2.17.so             libc-2.17.so             __strcmp_sse42
10        0.0020  libjemalloc.so.2         libjemalloc.so.2         base_extent_bump_alloc_post
10        0.0020  libjemalloc.so.2         libjemalloc.so.2         extent_interior_register
10        0.0020  libjemalloc.so.2         libjemalloc.so.2         extent_split_interior.isra.69
9         0.0018  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_remove
8         0.0016  libcrypto.so.1.0.2k      libcrypto.so.1.0.2k      /usr/lib64/libcrypto.so.1.0.2k
8         0.0016  libm-2.17.so             libm-2.17.so             __ceil_sse41
8         0.0016  libpthread-2.17.so       libpthread-2.17.so       pthread_self
8         0.0016  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Block::adjustPositionInBin(rml::internal::Bin*)
7         0.0014  ld-2.17.so               ld-2.17.so               do_lookup_x
7         0.0014  libc-2.17.so             libc-2.17.so             __gconv_transform_utf8_internal
7         0.0014  libjemalloc.so.2         libjemalloc.so.2         je_bitmap_init
7         0.0014  libjemalloc.so.2         libjemalloc.so.2         je_extent_alloc_wrapper
7         0.0014  server                   server                   i40e_update_vsi_stats
6         0.0012  libc-2.17.so             libc-2.17.so             __GI_____strtoull_l_internal
6         0.0012  libjemalloc.so.2         libjemalloc.so.2         arena_choose
6         0.0012  libjemalloc.so.2         libjemalloc.so.2         je_free_default
6         0.0012  libtbb.so.2              libtbb.so.2              tbb::internal::NFS_Free(void*)
6         0.0012  systemd-journald         systemd-journald         /usr/lib/systemd/systemd-journald
