Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:35:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:38:48 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:49 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:50 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:51 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:52 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:53 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:54 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:55 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:56 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:57 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:58 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:59 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:00 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:01 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:02 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:03 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:04 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:05 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:06 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:07 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:08 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:09 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:10 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:11 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:12 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:13 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:14 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:15 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:16 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:17 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:18 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:19 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:20 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:21 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:22 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:23 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:24 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:25 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:39:26 PM       0    100.00      0.00      0.00      0.00      0.00      0.00


10:39:26 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     90.87      0.00      9.13      0.00      0.00      0.00
